Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
48.766858,-64.470554,8.5,10.311,0
48.766562,-64.469516,8,10.394,0
48.766266,-64.468478,7.9,10.477,0
48.76597,-64.46744,7,10.56,-1
48.76574,-64.46666,7,10.623,-1
48.76557,-64.46605,7,10.672,0
48.76534,-64.46526,7,10.735,0
48.76515,-64.46459,7.4,10.789,0
48.76498,-64.464,7.4,10.836,0
48.76473,-64.46317,8,10.903,1
48.76467,-64.46293,8,10.922,0
48.76459,-64.4627,8,10.941,1
48.76452,-64.46248,8.1,10.959,1
48.76443,-64.46225,8.7,10.978,1
48.76431,-64.46195,9,11.004,1
48.76419,-64.46171,9,11.026,1
48.76402,-64.46142,10,11.055,2
48.76385,-64.46116,10,11.081,1
48.76364,-64.46086,10.2,11.114,1
48.76346,-64.46061,11,11.141,2
48.76321,-64.46027,11.7,11.178,1
48.76299,-64.45997,12,11.211,2
48.76278,-64.45967,13,11.243,2
48.76261,-64.4594,13,11.271,2
48.76246,-64.45914,13,11.296,1
48.76228,-64.45882,13.1,11.327,1
48.76213,-64.45848,14,11.357,1
48.76198,-64.45811,14,11.389,1
48.76185,-64.45773,14,11.42,1
48.76175,-64.45736,14.2,11.449,1
48.76166,-64.45699,14.7,11.478,1
48.76159,-64.45656,15,11.511,1
48.76156,-64.45624,14.9,11.535,1
48.76154,-64.45589,14.4,11.56,0
48.76151,-64.45548,14.2,11.591,0
48.76151,-64.45506,14,11.621,-1
48.76151,-64.45478,14,11.642,-1
48.76153,-64.45451,14,11.662,0
48.76155,-64.45422,13.4,11.683,-1
48.7616,-64.45391,13.1,11.707,-1
48.76168,-64.45338,13,11.747,-1
48.76185,-64.45238,11,11.822,-2
48.76201,-64.45147,9,11.892,-3
48.76214,-64.450685,10.5,11.951,0
48.76227,-64.4499,11.2,12.01,2
48.76248,-64.44866,12.3,12.104,1
48.76269,-64.44738,12.7,12.201,1
48.7628,-64.446715,11.4,12.251,-1
48.76291,-64.44605,11,12.302,-2
48.763035,-64.445395,9.7,12.352,-2
48.76316,-64.44474,9,12.402,-2
48.7633,-64.44405,9.4,12.455,0
48.76351,-64.44323,10,12.519,1
48.76364,-64.4428,9.2,12.554,0
48.763935,-64.4418,7.9,12.634,-2
48.76423,-64.4408,7.9,12.715,-1
48.764525,-64.4398,8,12.795,0
48.76482,-64.4388,9.6,12.876,1
48.765,-64.43815,8.3,12.927,0
48.76511,-64.43772,7.3,12.961,0
48.76527,-64.43694,6.7,13.021,-2
48.76535,-64.43626,7.2,13.072,0
48.765414,-64.434906,7.9,13.171,1
48.765478,-64.433552,11.2,13.271,2
48.765542,-64.432198,12.1,13.371,2
48.765606,-64.430844,13.7,13.47,1
48.76567,-64.42949,12.4,13.57,0
48.765718,-64.428425,12.2,13.648,-1
48.765765,-64.42736,12.6,13.726,0
48.765813,-64.426295,12.1,13.805,0
48.76586,-64.42523,12.6,13.883,0
48.76598,-64.42391,10.2,13.981,-1
48.76603,-64.42354,9.4,14.009,-3
48.76611,-64.42306,10.3,14.045,-1
48.76618,-64.42265,10.4,14.076,-1
48.76623,-64.42245,10.3,14.092,0
48.76639,-64.42173,13.4,14.147,3
48.76663,-64.4209,16.9,14.214,5
48.76701,-64.41987,20.6,14.3,5
48.767415,-64.41884,22.2,14.388,3
48.76782,-64.41781,22.7,14.476,1
48.76805,-64.417195,23.5,14.528,1
48.76828,-64.41658,24.4,14.58,2
48.76839,-64.41624,24.3,14.608,1
48.76847,-64.416,24.2,14.628,1
48.76852,-64.41581,24.3,14.643,1
48.7687,-64.41513,24.9,14.697,0
48.76883,-64.41459,26.7,14.739,2
48.76887,-64.41439,26.2,14.754,2
48.76892,-64.41415,26.7,14.773,2
48.76898,-64.41378,26.4,14.801,1
48.76902,-64.41349,26.6,14.822,1
48.76906,-64.41323,26.7,14.842,0
48.76909,-64.41295,26.9,14.863,1
48.76913,-64.41255,26.7,14.892,0
48.76915,-64.41223,27.3,14.916,1
48.76916,-64.41196,27.3,14.936,1
48.76918,-64.41176,28.2,14.951,1
48.76918,-64.41159,28.8,14.963,2
48.7692,-64.41105,29.5,15.003,3
48.76919,-64.41074,29.6,15.026,2
48.76918,-64.41051,29.8,15.042,2
48.76917,-64.41025,30,15.062,2
48.76916,-64.40997,30.1,15.082,1
48.76912,-64.40955,30.6,15.113,1
48.7691,-64.40927,30.8,15.134,1
48.76907,-64.40897,31.2,15.156,1
48.769,-64.40848,31.6,15.193,1
48.76892,-64.40797,31.5,15.231,1
48.76875,-64.40715,32.9,15.294,1
48.76866,-64.40672,33.9,15.328,2
48.768525,-64.406055,36.2,15.379,3
48.76839,-64.40539,36.1,15.43,2
48.768188,-64.404387,37.5,15.507,1
48.767985,-64.403385,35.5,15.584,0
48.767783,-64.402382,35.3,15.661,-1
48.76758,-64.40138,34.8,15.737,-1
48.76746,-64.40074,34.4,15.786,-1
48.76728,-64.3999,35.6,15.851,1
